Removed Member From Class: ClassName=Sheet1 Member=U10
Added Component: Designator=U8(20PIN)
Added Pin To Net: NetName=PB12 Pin=U8-1
Added Pin To Net: NetName=PB13 Pin=U8-2
Added Pin To Net: NetName=PB14 Pin=U8-3
Added Pin To Net: NetName=PB15 Pin=U8-4
Added Pin To Net: NetName=PA8 Pin=U8-5
Added Pin To Net: NetName=PA9 Pin=U8-6
Added Pin To Net: NetName=PA10 Pin=U8-7
Added Pin To Net: NetName=PA11 Pin=U8-8
Added Pin To Net: NetName=PA12 Pin=U8-9
Added Pin To Net: NetName=PA15 Pin=U8-10
Added Pin To Net: NetName=MPU_SCL Pin=U8-11
Added Pin To Net: NetName=MPU_SDA Pin=U8-12
Added Pin To Net: NetName=PB5 Pin=U8-13
Added Pin To Net: NetName=PB6 Pin=U8-14
Added Pin To Net: NetName=PB7 Pin=U8-15
Added Pin To Net: NetName=OLED_SCL Pin=U8-16
Added Pin To Net: NetName=OLED_SDA Pin=U8-17
Added Pin To Net: NetName=5V Pin=U8-18
Added Pin To Net: NetName=GND Pin=U8-19
Added Pin To Net: NetName=3V3 Pin=U8-20
Added Member To Class: ClassName=Sheet1 Member=Component U8 stm32f4
